transaction_id,date,description,amount,balance,account,currency
TXN100001,2026-01-01,Salary,50000,70000,Checking,BDT
TXN100002,2026-01-01,Pathao,-320,69680,Checking,BDT
TXN100003,2026-01-02,Aarong,-4200,65480,Checking,BDT
TXN100004,2026-01-03,KFC DHAKA,-850,64630,Checking,BDT
TXN100005,2026-01-03,Pizza Hut,-650,63980,Checking,BDT
TXN100006,2026-01-04,Pathao,-120,63860,Checking,BDT
TXN100007,2026-01-04,Daraz Online,-4200,59660,Checking,BDT
TXN100008,2026-01-05,DESCO BILL,-700,58960,Checking,BDT
TXN100009,2026-01-05,Daraz Online,-4200,54760,Checking,BDT
TXN100010,2026-01-06,Daraz Online,-1200,53560,Checking,BDT
TXN100011,2026-01-07,Domino's,-450,53110,Checking,BDT
TXN100012,2026-01-08,Grameenphone Bill,-700,52410,Checking,BDT
TXN100013,2026-01-08,Fuel Station,-220,52190,Checking,BDT
TXN100014,2026-01-09,Unimart,-900,51290,Checking,BDT
TXN100015,2026-01-10,Electricity Bill,-2500,48790,Checking,BDT
TXN100016,2026-01-10,Bata,-900,47890,Checking,BDT
TXN100017,2026-01-10,Uber,-450,47440,Checking,BDT
TXN100018,2026-01-11,Star Kabab,-650,46790,Checking,BDT
TXN100019,2026-01-11,Electronics Store,-1800,44990,Checking,BDT
TXN100020,2026-01-12,Bus Ticket,-220,44770,Checking,BDT
TXN100021,2026-01-13,Domino's,-1200,43570,Checking,BDT
TXN100022,2026-01-14,Netflix,-799,42771,Checking,BDT
TXN100023,2026-01-15,Freelance Payment,12000,54771,Checking,BDT
TXN100024,2026-01-15,Metro Rail,-650,54121,Checking,BDT
TXN100025,2026-01-16,Fuel Station,-120,54001,Checking,BDT
TXN100026,2026-01-17,Cafe Rio,-320,53681,Checking,BDT
TXN100027,2026-01-17,Spotify,-999,52682,Checking,BDT
TXN100028,2026-01-18,Parking Fee,-120,52562,Checking,BDT
TXN100029,2026-01-18,Steam Games,-799,51763,Checking,BDT
TXN100030,2026-01-19,Metro Rail,-450,51313,Checking,BDT
TXN100031,2026-01-20,Bus Ticket,-120,51193,Checking,BDT
TXN100032,2026-01-21,Doctor Consultation,-2500,48693,Checking,BDT
TXN100033,2026-01-22,Aarong,-900,47793,Checking,BDT
TXN100034,2026-01-23,Star Cineplex,-999,46794,Checking,BDT
TXN100035,2026-01-24,Cafe Rio,-1200,45594,Checking,BDT
TXN100036,2026-01-24,Bus Ticket,-220,45374,Checking,BDT
TXN100037,2026-01-25,Bank Interest,350,45724,Checking,BDT
TXN100038,2026-01-25,Pizza Hut,-650,45074,Checking,BDT
TXN100039,2026-01-25,Sultan's Dine,-320,44754,Checking,BDT
TXN100040,2026-01-26,YouTube Premium,-999,43755,Checking,BDT
TXN100041,2026-01-27,Gift Purchase,-100,43655,Checking,BDT
TXN100042,2026-01-28,Cafe Rio,-850,42805,Checking,BDT
TXN100043,2026-01-29,Domino's,-1500,41305,Checking,BDT
TXN100044,2026-01-30,Fuel Station,-220,41085,Checking,BDT
TXN100045,2026-01-31,Bata,-6500,34585,Checking,BDT
TXN100046,2026-01-31,Lazz Pharma,-900,33685,Checking,BDT
TXN100047,2026-02-01,Salary,50000,83685,Checking,BDT
TXN100048,2026-02-01,Domino's,-320,83365,Checking,BDT
TXN100049,2026-02-01,Daraz Online,-2500,80865,Checking,BDT
TXN100050,2026-02-02,Lazz Pharma,-1500,79365,Checking,BDT
TXN100051,2026-02-03,Domino's,-650,78715,Checking,BDT
TXN100052,2026-02-04,Fuel Station,-450,78265,Checking,BDT
TXN100053,2026-02-05,Internet Bill,-700,77565,Checking,BDT
TXN100054,2026-02-05,Bashundhara Shopping,-4200,73365,Checking,BDT
TXN100055,2026-02-06,Daraz Online,-2500,70865,Checking,BDT
TXN100056,2026-02-07,Medicine Store,-2500,68365,Checking,BDT
TXN100057,2026-02-07,Bus Ticket,-120,68245,Checking,BDT
TXN100058,2026-02-08,Grameenphone Bill,-1800,66445,Checking,BDT
TXN100059,2026-02-08,Pizza Hut,-320,66125,Checking,BDT
TXN100060,2026-02-08,Uber,-220,65905,Checking,BDT
TXN100061,2026-02-09,Aarong,-900,65005,Checking,BDT
TXN100062,2026-02-10,Electricity Bill,-700,64305,Checking,BDT
TXN100063,2026-02-10,Metro Rail,-450,63855,Checking,BDT
TXN100064,2026-02-11,Star Kabab,-850,63005,Checking,BDT
TXN100065,2026-02-12,Parking Fee,-220,62785,Checking,BDT
TXN100066,2026-02-13,Office Supplies,-500,62285,Checking,BDT
TXN100067,2026-02-14,Uber,-320,61965,Checking,BDT
TXN100068,2026-02-14,Gift Purchase,-1000,60965,Checking,BDT
TXN100069,2026-02-15,Freelance Payment,12000,72965,Checking,BDT
TXN100070,2026-02-15,Uber,-180,72785,Checking,BDT
TXN100071,2026-02-15,North End Coffee,-1200,71585,Checking,BDT
TXN100072,2026-02-16,Domino's,-850,70735,Checking,BDT
TXN100073,2026-02-17,Takeout Food,-450,70285,Checking,BDT
TXN100074,2026-02-18,Takeout Food,-250,70035,Checking,BDT
TXN100075,2026-02-19,Star Cineplex,-299,69736,Checking,BDT
TXN100076,2026-02-20,Shwapno,-4200,65536,Checking,BDT
TXN100077,2026-02-21,Pathao,-220,65316,Checking,BDT
TXN100078,2026-02-21,Steam Games,-799,64517,Checking,BDT
TXN100079,2026-02-22,Agora,-1200,63317,Checking,BDT
TXN100080,2026-02-22,Spotify,-499,62818,Checking,BDT
TXN100081,2026-02-23,Metro Rail,-650,62168,Checking,BDT
TXN100082,2026-02-24,KFC DHAKA,-1500,60668,Checking,BDT
TXN100083,2026-02-25,Bank Interest,350,61018,Checking,BDT
TXN100084,2026-02-25,Sultan's Dine,-320,60698,Checking,BDT
TXN100085,2026-02-26,Bata,-2500,58198,Checking,BDT
TXN100086,2026-02-27,Star Cineplex,-799,57399,Checking,BDT
TXN100087,2026-02-28,Pizza Hut,-320,57079,Checking,BDT
TXN100088,2026-02-28,Metro Rail,-180,56899,Checking,BDT
TXN100089,2026-03-01,Salary,50000,106899,Checking,BDT
TXN100090,2026-03-01,Fuel Station,-120,106779,Checking,BDT
TXN100091,2026-03-01,Parking Fee,-220,106559,Checking,BDT
TXN100092,2026-03-02,Netflix,-299,106260,Checking,BDT
TXN100093,2026-03-03,Courier Service,-250,106010,Checking,BDT
TXN100094,2026-03-04,Pathao,-320,105690,Checking,BDT
TXN100095,2026-03-05,Internet Bill,-650,105040,Checking,BDT
TXN100096,2026-03-05,YouTube Premium,-999,104041,Checking,BDT
TXN100097,2026-03-06,Uber,-650,103391,Checking,BDT
TXN100098,2026-03-07,Domino's,-250,103141,Checking,BDT
TXN100099,2026-03-07,Burger King,-1500,101641,Checking,BDT
TXN100100,2026-03-08,WASA BILL,-2500,99141,Checking,BDT
TXN100101,2026-03-08,YouTube Premium,-799,98342,Checking,BDT
TXN100102,2026-03-08,Takeout Food,-320,98022,Checking,BDT
TXN100103,2026-03-09,Pizza Hut,-850,97172,Checking,BDT
TXN100104,2026-03-10,WASA BILL,-1800,95372,Checking,BDT
TXN100105,2026-03-10,Bank Charge,-250,95122,Checking,BDT
TXN100106,2026-03-11,Star Kabab,-450,94672,Checking,BDT
TXN100107,2026-03-12,Fuel Station,-220,94452,Checking,BDT
TXN100108,2026-03-13,Cafe Rio,-1500,92952,Checking,BDT
TXN100109,2026-03-14,North End Coffee,-650,92302,Checking,BDT
TXN100110,2026-03-14,Bashundhara Shopping,-2500,89802,Checking,BDT
TXN100111,2026-03-15,Freelance Payment,12000,101802,Checking,BDT
TXN100112,2026-03-15,Steam Games,-499,101303,Checking,BDT
TXN100113,2026-03-15,Fuel Station,-450,100853,Checking,BDT
TXN100114,2026-03-16,Burger King,-1500,99353,Checking,BDT
TXN100115,2026-03-17,KFC DHAKA,-1500,97853,Checking,BDT
TXN100116,2026-03-18,Spotify,-499,97354,Checking,BDT
TXN100117,2026-03-19,Parking Fee,-120,97234,Checking,BDT
TXN100118,2026-03-20,Bata,-6500,90734,Checking,BDT
TXN100119,2026-03-21,Fuel Station,-320,90414,Checking,BDT
TXN100120,2026-03-21,Netflix,-299,90115,Checking,BDT
TXN100121,2026-03-22,Sultan's Dine,-250,89865,Checking,BDT
TXN100122,2026-03-22,Steam Games,-999,88866,Checking,BDT
TXN100123,2026-03-23,Aarong,-2500,86366,Checking,BDT
